facet_raw,facet_normalized,category,conversation_observable,sensitivity,abstention_reason,scoring_anchors
Compassion,Compassion,personality_trait,True,low,,"1=Very low Compassion, or the opposite trait is expressed; 3=Moderate/average Compassion; 5=Very high Compassion clearly expressed in the conversation."
Information Retention,Information Retention,personality_trait,True,low,,"1=Very low Information Retention, or the opposite trait is expressed; 3=Moderate/average Information Retention; 5=Very high Information Retention clearly expressed in the conversation."
Eye-contact duration,Eye-contact duration,personality_trait,True,low,,"1=Very low Eye-contact duration, or the opposite trait is expressed; 3=Moderate/average Eye-contact duration; 5=Very high Eye-contact duration clearly expressed in the conversation."
Self-righteousness,Self-righteousness,personality_trait,True,low,,"1=Very low Self-righteousness, or the opposite trait is expressed; 3=Moderate/average Self-righteousness; 5=Very high Self-righteousness clearly expressed in the conversation."
General Mood and Attitude,General Mood and Attitude,personality_trait,True,low,,"1=Very low General Mood and Attitude, or the opposite trait is expressed; 3=Moderate/average General Mood and Attitude; 5=Very high General Mood and Attitude clearly expressed in the conversation."
Serotonin transporter availability,Serotonin transporter availability,personality_trait,True,low,,"1=Very low Serotonin transporter availability, or the opposite trait is expressed; 3=Moderate/average Serotonin transporter availability; 5=Very high Serotonin transporter availability clearly expressed in the conversation."
Contribution to Group Goals,Contribution to Group Goals,personality_trait,True,low,,"1=Very low Contribution to Group Goals, or the opposite trait is expressed; 3=Moderate/average Contribution to Group Goals; 5=Very high Contribution to Group Goals clearly expressed in the conversation."
Dignity,Dignity,personality_trait,True,low,,"1=Very low Dignity, or the opposite trait is expressed; 3=Moderate/average Dignity; 5=Very high Dignity clearly expressed in the conversation."
HEXACO Personality Inventory Facets:,HEXACO Personality Inventory Facets,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Evaluating Solutions,Evaluating Solutions,personality_trait,True,low,,"1=Very low Evaluating Solutions, or the opposite trait is expressed; 3=Moderate/average Evaluating Solutions; 5=Very high Evaluating Solutions clearly expressed in the conversation."
Input,Input,personality_trait,True,low,,"1=Very low Input, or the opposite trait is expressed; 3=Moderate/average Input; 5=Very high Input clearly expressed in the conversation."
Discreteness,Discreteness,personality_trait,True,low,,"1=Very low Discreteness, or the opposite trait is expressed; 3=Moderate/average Discreteness; 5=Very high Discreteness clearly expressed in the conversation."
607. Energy-healing practice: Reiki sessions / year,Energy-healing practice: Reiki sessions / year,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
692. Astrology: Rising sign is Scorpio,Astrology: Rising sign is Scorpio,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Character strength: Social Intelligence,Character strength: Social Intelligence,personality_trait,True,low,,"1=Very low Character strength: Social Intelligence, or the opposite trait is expressed; 3=Moderate/average Character strength: Social Intelligence; 5=Very high Character strength: Social Intelligence clearly expressed in the conversation."
Bravery,Bravery,personality_trait,True,low,,"1=Very low Bravery, or the opposite trait is expressed; 3=Moderate/average Bravery; 5=Very high Bravery clearly expressed in the conversation."
Childhood Experiences,Childhood Experiences,personality_trait,True,low,,"1=Very low Childhood Experiences, or the opposite trait is expressed; 3=Moderate/average Childhood Experiences; 5=Very high Childhood Experiences clearly expressed in the conversation."
Data-sharing consent level,Data-sharing consent level,personality_trait,True,low,,"1=Very low Data-sharing consent level, or the opposite trait is expressed; 3=Moderate/average Data-sharing consent level; 5=Very high Data-sharing consent level clearly expressed in the conversation."
Vision-check frequency,Vision-check frequency,personality_trait,True,low,,"1=Very low Vision-check frequency, or the opposite trait is expressed; 3=Moderate/average Vision-check frequency; 5=Very high Vision-check frequency clearly expressed in the conversation."
Physical-violence exposure,Physical-violence exposure,personality_trait,True,low,,"1=Very low Physical-violence exposure, or the opposite trait is expressed; 3=Moderate/average Physical-violence exposure; 5=Very high Physical-violence exposure clearly expressed in the conversation."
Macronutrient ratio: fat,Macronutrient ratio: fat,personality_trait,True,low,,"1=Very low Macronutrient ratio: fat, or the opposite trait is expressed; 3=Moderate/average Macronutrient ratio: fat; 5=Very high Macronutrient ratio: fat clearly expressed in the conversation."
Cooking and Culinary Arts,Cooking and Culinary Arts,personality_trait,True,low,,"1=Very low Cooking and Culinary Arts, or the opposite trait is expressed; 3=Moderate/average Cooking and Culinary Arts; 5=Very high Cooking and Culinary Arts clearly expressed in the conversation."
Language use,Language use,personality_trait,True,low,,"1=Very low Language use, or the opposite trait is expressed; 3=Moderate/average Language use; 5=Very high Language use clearly expressed in the conversation."
Dance-style mastery diversity,Dance-style mastery diversity,personality_trait,True,low,,"1=Very low Dance-style mastery diversity, or the opposite trait is expressed; 3=Moderate/average Dance-style mastery diversity; 5=Very high Dance-style mastery diversity clearly expressed in the conversation."
Satya Adherence,Satya Adherence,personality_trait,True,low,,"1=Very low Satya Adherence, or the opposite trait is expressed; 3=Moderate/average Satya Adherence; 5=Very high Satya Adherence clearly expressed in the conversation."
Ethnocentrism,Ethnocentrism,personality_trait,True,low,,"1=Very low Ethnocentrism, or the opposite trait is expressed; 3=Moderate/average Ethnocentrism; 5=Very high Ethnocentrism clearly expressed in the conversation."
Emotional Boundaries,Emotional Boundaries,personality_trait,True,low,,"1=Very low Emotional Boundaries, or the opposite trait is expressed; 3=Moderate/average Emotional Boundaries; 5=Very high Emotional Boundaries clearly expressed in the conversation."
Creativity in solutions,Creativity in solutions,personality_trait,True,low,,"1=Very low Creativity in solutions, or the opposite trait is expressed; 3=Moderate/average Creativity in solutions; 5=Very high Creativity in solutions clearly expressed in the conversation."
Psychological construct: Hope scale,Psychological construct: Hope scale,personality_trait,True,low,,"1=Very low Psychological construct: Hope scale, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Hope scale; 5=Very high Psychological construct: Hope scale clearly expressed in the conversation."
565. Practice frequency: Walking meditation,Practice frequency: Walking meditation,personality_trait,True,low,,"1=Very low Practice frequency: Walking meditation, or the opposite trait is expressed; 3=Moderate/average Practice frequency: Walking meditation; 5=Very high Practice frequency: Walking meditation clearly expressed in the conversation."
Depression (DEP),Depression (DEP),personality_trait,True,low,,"1=Very low Depression (DEP), or the opposite trait is expressed; 3=Moderate/average Depression (DEP); 5=Very high Depression (DEP) clearly expressed in the conversation."
Understanding Mathematical Concepts,Understanding Mathematical Concepts,personality_trait,True,low,,"1=Very low Understanding Mathematical Concepts, or the opposite trait is expressed; 3=Moderate/average Understanding Mathematical Concepts; 5=Very high Understanding Mathematical Concepts clearly expressed in the conversation."
Hypomania (Ma),Hypomania (Ma),personality_trait,True,low,,"1=Very low Hypomania (Ma), or the opposite trait is expressed; 3=Moderate/average Hypomania (Ma); 5=Very high Hypomania (Ma) clearly expressed in the conversation."
Goal-Directed Behavior,Goal-Directed Behavior,behavioral_tendency,True,low,,"1=No indication of Goal-Directed Behavior in what the person says or describes; 3=Occasional or moderate indication of Goal-Directed Behavior; 5=Strong, repeated indication of Goal-Directed Behavior in the described behavior."
Depth of Emotional Connections,Depth of Emotional Connections,personality_trait,True,low,,"1=Very low Depth of Emotional Connections, or the opposite trait is expressed; 3=Moderate/average Depth of Emotional Connections; 5=Very high Depth of Emotional Connections clearly expressed in the conversation."
Binding foundations index,Binding foundations index,personality_trait,True,low,,"1=Very low Binding foundations index, or the opposite trait is expressed; 3=Moderate/average Binding foundations index; 5=Very high Binding foundations index clearly expressed in the conversation."
Ego Dissolution Frequency,Ego Dissolution Frequency,personality_trait,True,low,,"1=Very low Ego Dissolution Frequency, or the opposite trait is expressed; 3=Moderate/average Ego Dissolution Frequency; 5=Very high Ego Dissolution Frequency clearly expressed in the conversation."
Activator: Turning thoughts into action,Activator: Turning thoughts into action,personality_trait,True,low,,"1=Very low Activator: Turning thoughts into action, or the opposite trait is expressed; 3=Moderate/average Activator: Turning thoughts into action; 5=Very high Activator: Turning thoughts into action clearly expressed in the conversation."
967. Gnostic spiritual metric: Archon meditation frequency,Gnostic spiritual metric: Archon meditation frequency,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Exemplariness,Exemplariness,personality_trait,True,low,,"1=Very low Exemplariness, or the opposite trait is expressed; 3=Moderate/average Exemplariness; 5=Very high Exemplariness clearly expressed in the conversation."
Moral and Ethical Parameters:,Moral and Ethical Parameters,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Submission:,Submission,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Frankness,Frankness,personality_trait,True,low,,"1=Very low Frankness, or the opposite trait is expressed; 3=Moderate/average Frankness; 5=Very high Frankness clearly expressed in the conversation."
Psychological construct: Psychological Safety climate,Psychological construct: Psychological Safety climate,personality_trait,True,low,,"1=Very low Psychological construct: Psychological Safety climate, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Psychological Safety climate; 5=Very high Psychological construct: Psychological Safety climate clearly expressed in the conversation."
Psychological construct: Self-Compassion total,Psychological construct: Self-Compassion total,personality_trait,True,low,,"1=Very low Psychological construct: Self-Compassion total, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Self-Compassion total; 5=Very high Psychological construct: Self-Compassion total clearly expressed in the conversation."
Psychological construct: Executive-Function composite,Psychological construct: Executive-Function composite,personality_trait,True,low,,"1=Very low Psychological construct: Executive-Function composite, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Executive-Function composite; 5=Very high Psychological construct: Executive-Function composite clearly expressed in the conversation."
Rebelliousness,Rebelliousness,personality_trait,True,low,,"1=Very low Rebelliousness, or the opposite trait is expressed; 3=Moderate/average Rebelliousness; 5=Very high Rebelliousness clearly expressed in the conversation."
Volunteer Work,Volunteer Work,personality_trait,True,low,,"1=Very low Volunteer Work, or the opposite trait is expressed; 3=Moderate/average Volunteer Work; 5=Very high Volunteer Work clearly expressed in the conversation."
Intellect,Intellect,personality_trait,True,low,,"1=Very low Intellect, or the opposite trait is expressed; 3=Moderate/average Intellect; 5=Very high Intellect clearly expressed in the conversation."
Use of Mathematical Formulas,Use of Mathematical Formulas,personality_trait,True,low,,"1=Very low Use of Mathematical Formulas, or the opposite trait is expressed; 3=Moderate/average Use of Mathematical Formulas; 5=Very high Use of Mathematical Formulas clearly expressed in the conversation."
Coarseness,Coarseness,personality_trait,True,low,,"1=Very low Coarseness, or the opposite trait is expressed; 3=Moderate/average Coarseness; 5=Very high Coarseness clearly expressed in the conversation."
Behavioral Tendencies and Subcomponents:,Behavioral Tendencies and Subcomponents,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Sensitivity,Sensitivity,personality_trait,True,low,,"1=Very low Sensitivity, or the opposite trait is expressed; 3=Moderate/average Sensitivity; 5=Very high Sensitivity clearly expressed in the conversation."
Divided Attention Ability,Divided Attention Ability,personality_trait,True,low,,"1=Very low Divided Attention Ability, or the opposite trait is expressed; 3=Moderate/average Divided Attention Ability; 5=Very high Divided Attention Ability clearly expressed in the conversation."
Psychological construct: Acculturative Stress score,Psychological construct: Acculturative Stress score,personality_trait,True,low,,"1=Very low Psychological construct: Acculturative Stress score, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Acculturative Stress score; 5=Very high Psychological construct: Acculturative Stress score clearly expressed in the conversation."
Dauntlessness,Dauntlessness,personality_trait,True,low,,"1=Very low Dauntlessness, or the opposite trait is expressed; 3=Moderate/average Dauntlessness; 5=Very high Dauntlessness clearly expressed in the conversation."
Concreteness,Concreteness,personality_trait,True,low,,"1=Very low Concreteness, or the opposite trait is expressed; 3=Moderate/average Concreteness; 5=Very high Concreteness clearly expressed in the conversation."
Hysteria (Hy),Hysteria (Hy),personality_trait,True,low,,"1=Very low Hysteria (Hy), or the opposite trait is expressed; 3=Moderate/average Hysteria (Hy); 5=Very high Hysteria (Hy) clearly expressed in the conversation."
911. Jewish spiritual metric: Sukkot lulav-shaking days,Jewish spiritual metric: Sukkot lulav-shaking days,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Sentence Structure,Sentence Structure,personality_trait,True,low,,"1=Very low Sentence Structure, or the opposite trait is expressed; 3=Moderate/average Sentence Structure; 5=Very high Sentence Structure clearly expressed in the conversation."
Esteem Needs,Esteem Needs,personality_trait,True,low,,"1=Very low Esteem Needs, or the opposite trait is expressed; 3=Moderate/average Esteem Needs; 5=Very high Esteem Needs clearly expressed in the conversation."
Understanding mechanical concepts,Understanding mechanical concepts,personality_trait,True,low,,"1=Very low Understanding mechanical concepts, or the opposite trait is expressed; 3=Moderate/average Understanding mechanical concepts; 5=Very high Understanding mechanical concepts clearly expressed in the conversation."
Auditory Memory Recall,Auditory Memory Recall,cognitive_ability,True,low,,"1=No evidence of Auditory Memory Recall in the conversation; 3=Average/typical evidence of Auditory Memory Recall; 5=Strong, clear evidence of high Auditory Memory Recall demonstrated in the person's reasoning or language."
Storytelling proficiency,Storytelling proficiency,personality_trait,True,low,,"1=Very low Storytelling proficiency, or the opposite trait is expressed; 3=Moderate/average Storytelling proficiency; 5=Very high Storytelling proficiency clearly expressed in the conversation."
Music-lessons years,Music-lessons years,personality_trait,True,low,,"1=Very low Music-lessons years, or the opposite trait is expressed; 3=Moderate/average Music-lessons years; 5=Very high Music-lessons years clearly expressed in the conversation."
Warmheartedness,Warmheartedness,personality_trait,True,low,,"1=Very low Warmheartedness, or the opposite trait is expressed; 3=Moderate/average Warmheartedness; 5=Very high Warmheartedness clearly expressed in the conversation."
Self-effacement,Self-effacement,personality_trait,True,low,,"1=Very low Self-effacement, or the opposite trait is expressed; 3=Moderate/average Self-effacement; 5=Very high Self-effacement clearly expressed in the conversation."
Outspokenness,Outspokenness,personality_trait,True,low,,"1=Very low Outspokenness, or the opposite trait is expressed; 3=Moderate/average Outspokenness; 5=Very high Outspokenness clearly expressed in the conversation."
Sleep-environment temperature,Sleep-environment temperature,personality_trait,True,low,,"1=Very low Sleep-environment temperature, or the opposite trait is expressed; 3=Moderate/average Sleep-environment temperature; 5=Very high Sleep-environment temperature clearly expressed in the conversation."
Comprehension of spoken information,Comprehension of spoken information,cognitive_ability,True,low,,"1=No evidence of Comprehension of spoken information in the conversation; 3=Average/typical evidence of Comprehension of spoken information; 5=Strong, clear evidence of high Comprehension of spoken information demonstrated in the person's reasoning or language."
Blissfulness,Blissfulness,personality_trait,True,low,,"1=Very low Blissfulness, or the opposite trait is expressed; 3=Moderate/average Blissfulness; 5=Very high Blissfulness clearly expressed in the conversation."
Sequential Memory Recall,Sequential Memory Recall,cognitive_ability,True,low,,"1=No evidence of Sequential Memory Recall in the conversation; 3=Average/typical evidence of Sequential Memory Recall; 5=Strong, clear evidence of high Sequential Memory Recall demonstrated in the person's reasoning or language."
Withdrawnness,Withdrawnness,personality_trait,True,low,,"1=Very low Withdrawnness, or the opposite trait is expressed; 3=Moderate/average Withdrawnness; 5=Very high Withdrawnness clearly expressed in the conversation."
892. Hindu spiritual metric: Yoga discipline hours / week,Hindu spiritual metric: Yoga discipline hours / week,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Conservatism,Conservatism,personality_trait,True,low,,"1=Very low Conservatism, or the opposite trait is expressed; 3=Moderate/average Conservatism; 5=Very high Conservatism clearly expressed in the conversation."
Adaptability and Flexibility Subcomponents:,Adaptability and Flexibility Subcomponents,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
898. Hindu spiritual metric: Vrata vows observed / year,Hindu spiritual metric: Vrata vows observed / year,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Ardency,Ardency,personality_trait,True,low,,"1=Very low Ardency, or the opposite trait is expressed; 3=Moderate/average Ardency; 5=Very high Ardency clearly expressed in the conversation."
Aesthetic Appreciation,Aesthetic Appreciation,personality_trait,True,low,,"1=Very low Aesthetic Appreciation, or the opposite trait is expressed; 3=Moderate/average Aesthetic Appreciation; 5=Very high Aesthetic Appreciation clearly expressed in the conversation."
Transactional Leadership:,Transactional Leadership,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Value orientation: Universalism,Value orientation: Universalism,personality_trait,True,low,,"1=Very low Value orientation: Universalism, or the opposite trait is expressed; 3=Moderate/average Value orientation: Universalism; 5=Very high Value orientation: Universalism clearly expressed in the conversation."
Perseverance,Perseverance,personality_trait,True,low,,"1=Very low Perseverance, or the opposite trait is expressed; 3=Moderate/average Perseverance; 5=Very high Perseverance clearly expressed in the conversation."
Regularity of Self-Reflection,Regularity of Self-Reflection,personality_trait,True,low,,"1=Very low Regularity of Self-Reflection, or the opposite trait is expressed; 3=Moderate/average Regularity of Self-Reflection; 5=Very high Regularity of Self-Reflection clearly expressed in the conversation."
Controlling Reactions,Controlling Reactions,personality_trait,True,low,,"1=Very low Controlling Reactions, or the opposite trait is expressed; 3=Moderate/average Controlling Reactions; 5=Very high Controlling Reactions clearly expressed in the conversation."
Psychological construct: Cultural Intelligence – Behavioral,Psychological construct: Cultural Intelligence – Behavioral,behavioral_tendency,True,low,,"1=No indication of Psychological construct: Cultural Intelligence – Behavioral in what the person says or describes; 3=Occasional or moderate indication of Psychological construct: Cultural Intelligence – Behavioral; 5=Strong, repeated indication of Psychological construct: Cultural Intelligence – Behavioral in the described behavior."
Metabolic Rate (Low or High),Metabolic Rate (Low or High),medical_biological,False,high,"Requires a clinical measurement, lab test, or diagnosis record; cannot be responsibly inferred from conversational text alone.",
Dietary Habits,Dietary Habits,behavioral_tendency,True,low,,"1=No indication of Dietary Habits in what the person says or describes; 3=Occasional or moderate indication of Dietary Habits; 5=Strong, repeated indication of Dietary Habits in the described behavior."
Significance: Desire to make an impact,Significance: Desire to make an impact,personality_trait,True,low,,"1=Very low Significance: Desire to make an impact, or the opposite trait is expressed; 3=Moderate/average Significance: Desire to make an impact; 5=Very high Significance: Desire to make an impact clearly expressed in the conversation."
Psychological construct: Resilience-Trait score,Psychological construct: Resilience-Trait score,personality_trait,True,low,,"1=Very low Psychological construct: Resilience-Trait score, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Resilience-Trait score; 5=Very high Psychological construct: Resilience-Trait score clearly expressed in the conversation."
Boredom Susceptibility,Boredom Susceptibility,personality_trait,True,low,,"1=Very low Boredom Susceptibility, or the opposite trait is expressed; 3=Moderate/average Boredom Susceptibility; 5=Very high Boredom Susceptibility clearly expressed in the conversation."
Psychological construct: Consummatory Pleasure scale,Psychological construct: Consummatory Pleasure scale,personality_trait,True,low,,"1=Very low Psychological construct: Consummatory Pleasure scale, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Consummatory Pleasure scale; 5=Very high Psychological construct: Consummatory Pleasure scale clearly expressed in the conversation."
Leadership Styles and Behaviors:,Leadership Styles and Behaviors,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
723. I Ching hexagram 5 resonance level,I Ching hexagram 5 resonance level,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Macronutrient ratio: carbs,Macronutrient ratio: carbs,personality_trait,True,low,,"1=Very low Macronutrient ratio: carbs, or the opposite trait is expressed; 3=Moderate/average Macronutrient ratio: carbs; 5=Very high Macronutrient ratio: carbs clearly expressed in the conversation."
Passport-stamps count,Passport-stamps count,social_demographic,False,low,"Requires a factual/demographic record (counts, logs, official data) rather than something inferable from conversational tone or content.",
Local-food sourcing %,Local-food sourcing %,personality_trait,True,low,,"1=Very low Local-food sourcing %, or the opposite trait is expressed; 3=Moderate/average Local-food sourcing %; 5=Very high Local-food sourcing % clearly expressed in the conversation."
Patient care orientation,Patient care orientation,personality_trait,True,low,,"1=Very low Patient care orientation, or the opposite trait is expressed; 3=Moderate/average Patient care orientation; 5=Very high Patient care orientation clearly expressed in the conversation."
Soft-skill training hours,Soft-skill training hours,personality_trait,True,low,,"1=Very low Soft-skill training hours, or the opposite trait is expressed; 3=Moderate/average Soft-skill training hours; 5=Very high Soft-skill training hours clearly expressed in the conversation."
Graffiti appreciation,Graffiti appreciation,personality_trait,True,low,,"1=Very low Graffiti appreciation, or the opposite trait is expressed; 3=Moderate/average Graffiti appreciation; 5=Very high Graffiti appreciation clearly expressed in the conversation."
Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Immune-response age,Immune-response age,personality_trait,True,low,,"1=Very low Immune-response age, or the opposite trait is expressed; 3=Moderate/average Immune-response age; 5=Very high Immune-response age clearly expressed in the conversation."
Social-cognition variable: Cognitive Empathy,Social-cognition variable: Cognitive Empathy,cognitive_ability,True,low,,"1=No evidence of Social-cognition variable: Cognitive Empathy in the conversation; 3=Average/typical evidence of Social-cognition variable: Cognitive Empathy; 5=Strong, clear evidence of high Social-cognition variable: Cognitive Empathy demonstrated in the person's reasoning or language."
Kink-interest diversity,Kink-interest diversity,personality_trait,True,low,,"1=Very low Kink-interest diversity, or the opposite trait is expressed; 3=Moderate/average Kink-interest diversity; 5=Very high Kink-interest diversity clearly expressed in the conversation."
Adaptability and Flexibility:,Adaptability and Flexibility,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Judging Consequences,Judging Consequences,personality_trait,True,low,,"1=Very low Judging Consequences, or the opposite trait is expressed; 3=Moderate/average Judging Consequences; 5=Very high Judging Consequences clearly expressed in the conversation."
Harmfulness,Harmfulness,personality_trait,True,low,,"1=Very low Harmfulness, or the opposite trait is expressed; 3=Moderate/average Harmfulness; 5=Very high Harmfulness clearly expressed in the conversation."
Affinity,Affinity,personality_trait,True,low,,"1=Very low Affinity, or the opposite trait is expressed; 3=Moderate/average Affinity; 5=Very high Affinity clearly expressed in the conversation."
Abasement,Abasement,personality_trait,True,low,,"1=Very low Abasement, or the opposite trait is expressed; 3=Moderate/average Abasement; 5=Very high Abasement clearly expressed in the conversation."
Chronic pain presence,Chronic pain presence,personality_trait,True,low,,"1=Very low Chronic pain presence, or the opposite trait is expressed; 3=Moderate/average Chronic pain presence; 5=Very high Chronic pain presence clearly expressed in the conversation."
520. Discernment practice hours / week,Discernment practice hours / week,personality_trait,True,low,,"1=Very low Discernment practice hours / week, or the opposite trait is expressed; 3=Moderate/average Discernment practice hours / week; 5=Very high Discernment practice hours / week clearly expressed in the conversation."
Initiative,Initiative,personality_trait,True,low,,"1=Very low Initiative, or the opposite trait is expressed; 3=Moderate/average Initiative; 5=Very high Initiative clearly expressed in the conversation."
Courageousness,Courageousness,personality_trait,True,low,,"1=Very low Courageousness, or the opposite trait is expressed; 3=Moderate/average Courageousness; 5=Very high Courageousness clearly expressed in the conversation."
Joyfulness,Joyfulness,personality_trait,True,low,,"1=Very low Joyfulness, or the opposite trait is expressed; 3=Moderate/average Joyfulness; 5=Very high Joyfulness clearly expressed in the conversation."
Suspicion,Suspicion,personality_trait,True,low,,"1=Very low Suspicion, or the opposite trait is expressed; 3=Moderate/average Suspicion; 5=Very high Suspicion clearly expressed in the conversation."
Basophil count,Basophil count,medical_biological,False,high,"Requires a clinical measurement, lab test, or diagnosis record; cannot be responsibly inferred from conversational text alone.",
Attachment avoidance score,Attachment avoidance score,behavioral_tendency,True,low,,"1=No indication of Attachment avoidance score in what the person says or describes; 3=Occasional or moderate indication of Attachment avoidance score; 5=Strong, repeated indication of Attachment avoidance score in the described behavior."
Time Orientation End Points:,Time Orientation End Points,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Brazenness,Brazenness,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Talkativeness,Talkativeness,personality_trait,True,low,,"1=Very low Talkativeness, or the opposite trait is expressed; 3=Moderate/average Talkativeness; 5=Very high Talkativeness clearly expressed in the conversation."
Equitableness,Equitableness,personality_trait,True,low,,"1=Very low Equitableness, or the opposite trait is expressed; 3=Moderate/average Equitableness; 5=Very high Equitableness clearly expressed in the conversation."
Ideas generated/day,Ideas generated/day,personality_trait,True,low,,"1=Very low Ideas generated/day, or the opposite trait is expressed; 3=Moderate/average Ideas generated/day; 5=Very high Ideas generated/day clearly expressed in the conversation."
Originality,Originality,personality_trait,True,low,,"1=Very low Originality, or the opposite trait is expressed; 3=Moderate/average Originality; 5=Very high Originality clearly expressed in the conversation."
Fearfulness: Fear of physical dangers,Fearfulness: Fear of physical dangers,personality_trait,True,low,,"1=Very low Fearfulness: Fear of physical dangers, or the opposite trait is expressed; 3=Moderate/average Fearfulness: Fear of physical dangers; 5=Very high Fearfulness: Fear of physical dangers clearly expressed in the conversation."
Dance rehearsal hours/week,Dance rehearsal hours/week,personality_trait,True,low,,"1=Very low Dance rehearsal hours/week, or the opposite trait is expressed; 3=Moderate/average Dance rehearsal hours/week; 5=Very high Dance rehearsal hours/week clearly expressed in the conversation."
561. Practice frequency: Mantra meditation,Practice frequency: Mantra meditation,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Public-transport km/week,Public-transport km/week,personality_trait,True,low,,"1=Very low Public-transport km/week, or the opposite trait is expressed; 3=Moderate/average Public-transport km/week; 5=Very high Public-transport km/week clearly expressed in the conversation."
Social Desirability Bias,Social Desirability Bias,personality_trait,True,low,,"1=Very low Social Desirability Bias, or the opposite trait is expressed; 3=Moderate/average Social Desirability Bias; 5=Very high Social Desirability Bias clearly expressed in the conversation."
761. I Ching hexagram 43 resonance level,I Ching hexagram 43 resonance level,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Disagreeableness,Disagreeableness,personality_trait,True,low,,"1=Very low Disagreeableness, or the opposite trait is expressed; 3=Moderate/average Disagreeableness; 5=Very high Disagreeableness clearly expressed in the conversation."
Participation in Community Activities,Participation in Community Activities,personality_trait,True,low,,"1=Very low Participation in Community Activities, or the opposite trait is expressed; 3=Moderate/average Participation in Community Activities; 5=Very high Participation in Community Activities clearly expressed in the conversation."
Impudence,Impudence,personality_trait,True,low,,"1=Very low Impudence, or the opposite trait is expressed; 3=Moderate/average Impudence; 5=Very high Impudence clearly expressed in the conversation."
Analogies,Analogies,personality_trait,True,low,,"1=Very low Analogies, or the opposite trait is expressed; 3=Moderate/average Analogies; 5=Very high Analogies clearly expressed in the conversation."
Clumsiness,Clumsiness,personality_trait,True,low,,"1=Very low Clumsiness, or the opposite trait is expressed; 3=Moderate/average Clumsiness; 5=Very high Clumsiness clearly expressed in the conversation."
Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,behavioral_tendency,True,low,,"1=No indication of Tendency Toward Compromise or Confrontation in what the person says or describes; 3=Occasional or moderate indication of Tendency Toward Compromise or Confrontation; 5=Strong, repeated indication of Tendency Toward Compromise or Confrontation in the described behavior."
737. I Ching hexagram 19 resonance level,I Ching hexagram 19 resonance level,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Robotics-interaction frequency,Robotics-interaction frequency,personality_trait,True,low,,"1=Very low Robotics-interaction frequency, or the opposite trait is expressed; 3=Moderate/average Robotics-interaction frequency; 5=Very high Robotics-interaction frequency clearly expressed in the conversation."
